moodle  (All Fields)
Time span:1945-2021. 

"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"POSTGRADUATE STUDENTS' ATTITUDE TOWARDS COMPUTER-BASED TESTING OF LEARNING RESULTS","Starosta, Volodymyr, I","","","","INFORMATION TECHNOLOGIES AND LEARNING TOOLS","2021","2021","82","2","","","","215","230","","10.33407/itlt.v82i2.3304","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"THE USE OF E-LEARNING MANAGEMENT SYSTEMS TO SUPPORT ENGLISH LANGUAGE LEARNING AT ENGINEERING STUDY PROGRAMS: QUALITY AND LEARNERS' SATISFACTION","Stefanovic, Sandra; Urlica, Alina Andreea Dragoescu; Kamberi, Lulzime","","","","INTERNATIONAL JOURNAL FOR QUALITY RESEARCH","2021","2021","15","2","","","","637","642","","10.24874/IJQR15.02-17","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"The Use of Electronic Educational Resources of the University as a Means of Increasing the Educational Motivation of Students","Talysheva, Irina; Pegova, Khene; Khaliullina, Liliya","","","","INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING","2021","2021","16","1","","","","289","304","","10.3991/ijet.v16i01.16799","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"USE OF VIRTUAL REALITY SIMULATORS FOR THE FORMATION OF FUTURE NAVIGATORS' PROFESSIONAL COMPETENCIES","Tovstokoryi, Oleh M.; Popova, Galina, V","","","","INFORMATION TECHNOLOGIES AND LEARNING TOOLS","2021","2021","82","2","","","","46","62","","10.33407/itlt.v82i2.3605","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hybrid Fuzzy Rule-Based Classification System for MOODLE LMS System","Zhao, Qun; Lai, Shou-Chuan; Wang, Jin-Long; Wang, Li-Yu","","","","JOURNAL OF INTERNET TECHNOLOGY","2021","2021","22","1","","","","81","90","","10.3966/160792642021012201008","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Introduction of team-based learning improves understanding of glucose metabolism in biochemistry among undergraduate students","Eguchi, Hironobu; Sakiyama, Haruhiko; Naruse, Hitoshi; Yoshihara, Daisaku; Fujiwara, Noriko; Suzuki, Keiichiro","","","","BIOCHEMISTRY AND MOLECULAR BIOLOGY EDUCATION","MAY 2021","2021","49","3","","","","383","391","","10.1002/bmb.21485","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Classification, Visualization and Pattern Recognition using J48 and Zero R Machine Learning Algorithms","Okike, Ezekiel U.; Mogorosi, Merapelo","","","","INTERNATIONAL JOURNAL OF COMPUTER SCIENCE AND NETWORK SECURITY","DEC 30 2020","2020","20","12","","","","224","231","","10.22937/IJCSNS.2020.20.12.25","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Learners' Activity Indicators Prediction in e-Learning using Fuzzy Logic","Chehbi, Sanae; Fri, Chakir; Elouahbi, Rachid","","","","INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS","DEC 2020","2020","11","12","","","","467","475","","","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Text-Based Online Communicative Activities: A Comparison of Two Approaches","Chen, Huei-Yu","","","","JOURNAL OF TECHNOLOGY AND CHINESE LANGUAGE TEACHING","DEC 2020","2020","11","2","","","","24","63","","","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Emotional and Learning Perceptions due to Mandatory Social I Distancing by COVID-19 of University Students (Argentina)","Gayol, Diana Salome","","","","ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA","DEC 2020","2020","66","4","","","","270","277","","","","","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
