"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Data mining in course management systems: Moodle case study and tutorial","Romero, Cristobal; Ventura, Sebastian; Garcia, Enrique","","","","COMPUTERS & EDUCATION","AUG 2008","2008","51","1","","","","368","384","","10.1016/j.compedu.2007.05.016","","","477","34.07","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","16","20","28","32","36","42","50","44","62","47","45","39","14"
"Predicting students' final performance from participation in on-line discussion forums","Romero, Cristobal; Lopez, Manuel-Ignacio; Luna, Jose-Maria; Ventura, Sebastian","","","","COMPUTERS & EDUCATION","OCT 2013","2013","68","","","","","458","472","","10.1016/j.compedu.2013.06.009","","","250","27.78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","18","25","38","50","54","38","16"
"Motivational factors that influence the acceptance of Moodle using TAM","Arteaga Sanchez, R.; Duarte Hueros, A.","","","","COMPUTERS IN HUMAN BEHAVIOR","NOV 2010","2010","26","6","","","","1632","1640","","10.1016/j.chb.2010.06.011","","","209","17.42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","15","14","20","30","28","18","27","26","13"
"The role of new technologies in the learning process: Moodle as a teaching tool in Physics","Martin-Blas, Teresa; Serrano-Fernandez, Ana","","","","COMPUTERS & EDUCATION","JAN 2009","2009","52","1","","","","35","44","","10.1016/j.compedu.2008.06.005","","","188","14.46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","14","21","17","17","18","24","11","17","18","13","9","3"
"Development and evaluation of a virtual campus on Second Life: The case of SecondDMI","De Lucia, Andrea; Francese, Rita; Passero, Ignazio; Tortora, Genoveffa","","","","COMPUTERS & EDUCATION","JAN 2009","2009","52","1","","","","220","233","","10.1016/j.compedu.2008.08.001","","","177","13.62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","21","26","17","23","19","11","20","10","9","9","6","1"
"DROPOUT RATES OF MASSIVE OPEN ONLINE COURSES: BEHAVIOURAL PATTERNS","Onah, D. F. O.; Sinclair, J.; Boyatt, R.","","","Chova, LG; Martinez, AL; Torres, IC","EDULEARN14: 6TH INTERNATIONAL CONFERENCE ON EDUCATION AND NEW LEARNING TECHNOLOGIES","2014","2014","","","","","","5825","5834","","","6th International Conference on Education and New Learning Technologies (EDULEARN)","JUL 07-09, 2014","163","20.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","11","26","39","48","23","9"
"Web usage mining for predicting final marks of students that use Moodle courses","Romero, Cristobal; Espejo, Pedro G.; Zafra, Amelia; Raul Romero, Jose; Ventura, Sebastian","","","","COMPUTER APPLICATIONS IN ENGINEERING EDUCATION","MAR 2013","2013","21","1","","","","135","146","","10.1002/cae.20456","","","138","15.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","5","4","20","15","22","19","24","19","7"
"From Moodle to Facebook: Exploring students' motivation and experiences in online communities","Deng, Liping; Tavares, Nicole Judith","","","","COMPUTERS & EDUCATION","OCT 2013","2013","68","","","","","167","176","","10.1016/j.compedu.2013.04.028","","","129","14.33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","21","15","21","20","24","14","8"
"Students' LMS interaction patterns and their relationship with achievement: A case study in higher education","Cerezo, Rebeca; Sanchez-Santillan, Miguel; Puerto Paule-Ruiz, M.; Carlos Nunez, J.","","","","COMPUTERS & EDUCATION","MAY 2016","2016","96","","","","","42","54","","10.1016/j.compedu.2016.02.006","","","112","18.67","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","18","31","35","16"
"The acceptance of Mood le technology by business administration students","Escobar-Rodriguez, Tomas; Monge-Lozano, Pedro","","","","COMPUTERS & EDUCATION","MAY 2012","2012","58","4","","","","1085","1093","","10.1016/j.compedu.2011.11.012","","","110","11.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","10","16","13","21","10","17","16","4"
"Investigating e-learning system usage outcomes in the university context","Islam, A. K. M. Najmul","","","","COMPUTERS & EDUCATION","NOV 2013","2013","69","","","","","387","399","","10.1016/j.compedu.2013.07.037","","","108","12.00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","11","16","12","11","22","17","10"
"A multivariate approach to predicting student outcomes in web-enabled blended learning courses","Zacharis, Nick Z.","","","","INTERNET AND HIGHER EDUCATION","OCT 2015","2015","27","","","","","44","53","","10.1016/j.iheduc.2015.05.002","","","100","14.29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","9","13","16","33","19","9"
"Are you ready to "Moodle"?","Brandl, K","","","","LANGUAGE LEARNING & TECHNOLOGY","MAY 2005","2005","9","2","","","","16","23","","","","","98","5.76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","2","7","9","13","8","10","9","6","6","8","4","6","2"
"A Remote Laboratory in Engineering Measurement","Restivo, Maria T.; Mendes, Joaquim; Lopes, Antonio M.; Silva, Carlos M.; Chouzal, Fatima","","","","IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS","DEC 2009","2009","56","12","","","","4836","4843","","10.1109/TIE.2008.2011479","","","96","7.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","7","8","13","14","18","9","6","7","4","2","2"
"An evaluation of open source e-learning platforms stressing adaptation issues","Graf, S; List, B","","","Goodyear, P; Sampson, DG; Yang, DJT; Kinshuk, X; Okamoto, T; Hartley, R; Chen, NS","5th IEEE International Conference on Advanced Learning Technologies, Proceedings","2005","2005","","","","","","163","165","","10.1109/ICALT.2005.54","5th IEEE International Conference on Advanced Learning Technologies","JUL 05-08, 2005","94","5.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","8","14","5","6","4","8","8","5","8","8","2","6","4","1"
"Opening Learning Management Systems to Personal Learning Environments","Garcia-Penalvo, Francisco J.; Conde, Miguel A.; Alier, Marc; Casany, Maria J.","","","","JOURNAL OF UNIVERSAL COMPUTER SCIENCE","2011","2011","17","9","","","","1222","1240","","","","","87","7.91","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","13","17","15","10","4","8","8","2","0"
"Looking under the Bonnet: Factors Affecting Student Adoption of E-Learning Systems in Jordan","Abbad, Muneer Mahmood; Morris, David; de Nahlik, Carmel","","","","INTERNATIONAL REVIEW OF RESEARCH IN OPEN AND DISTRIBUTED LEARNING","2009","2009","10","2","","","","","","","","","","87","6.69","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","6","4","7","5","8","13","17","7","8","4"
